goos: linux
goarch: amd64
pkg: rate-limiter/policies
cpu: Intel(R) Core(TM) i3-7020U CPU @ 2.30GHz
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 5602530	       218.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 5520348	       199.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 5932999	       194.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 6293337	       196.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 6215528	       203.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 4485490	       280.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 4451124	       249.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 5065388	       256.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 4402960	       255.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 4669328	       260.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 4220403	       285.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 4024276	       323.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 3841761	       282.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 4253464	       271.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 4073547	       278.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 6111192	       189.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 6078655	       194.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 6249258	       197.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 6229504	       208.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 6113467	       188.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 8438526	       203.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 7137991	       149.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 5981458	       195.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 5165001	       200.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 6379815	       214.3 ns/op	       0 B/op	       0 allocs/op
