goos: linux
goarch: amd64
pkg: rate-limiter/policies
cpu: Intel(R) Core(TM) i3-7020U CPU @ 2.30GHz
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 7222482	       164.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 6954693	       163.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 7032156	       201.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 6510132	       188.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key           	 6234952	       176.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 5364692	       236.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 4973400	       227.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 5026088	       219.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 5189350	       227.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-2         	 5238685	       237.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 4088214	       291.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 4103642	       279.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 4247570	       283.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 4136745	       284.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/same_key-4         	 4039658	       314.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 5829708	       205.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 5858305	       197.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 6147273	       201.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 6240160	       196.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys          	 5887316	       192.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 6334228	       197.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 5424424	       205.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 5597241	       218.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 4905981	       241.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-2        	 8262544	       201.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-4        	 4901172	       227.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-4        	 5426876	       209.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-4        	 5657210	       216.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-4        	 5649831	       201.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/token_bucket/many_keys-4        	 5034703	       299.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key           	 6059164	       227.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key           	 3901604	       379.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key           	 5033437	       215.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key           	 5863090	       200.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key           	 6719942	       187.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-2         	 5458714	       241.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-2         	 4936027	       233.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-2         	 5135157	       231.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-2         	 5109967	       249.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-2         	 4555359	       256.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-4         	 4173411	       270.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-4         	 4283359	       271.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-4         	 4654812	       260.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-4         	 4753317	       256.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/same_key-4         	 4725147	       256.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys          	 6401406	       189.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys          	 6941604	       191.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys          	 5197654	       204.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys          	 6318141	       186.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys          	 6531176	       186.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-2        	 6996439	       177.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-2        	 7997510	       190.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-2        	 6058406	       189.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-2        	 6291642	       185.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-2        	 6044772	       190.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 5701285	       218.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 5954832	       183.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 6554250	       197.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 6193305	       194.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/leaky_bucket/many_keys-4        	 6592838	       195.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 7984135	       147.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 7952222	       153.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 8039115	       153.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 7856624	       152.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key         	 8165850	       148.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6741933	       185.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6731880	       176.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6647264	       190.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6828987	       178.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-2       	 6411165	       178.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5013301	       245.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5040958	       242.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5033827	       242.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5013136	       241.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/same_key-4       	 5072869	       250.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 6912610	       184.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 5981817	       188.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 6395676	       158.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 7412511	       164.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys        	 6895075	       152.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-2      	 8840836	       146.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-2      	 7671648	       147.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaturatedConcurrent/sliding_window/many_keys-2      	 7812166	       150.0 ns/op	       0 B/op	       0 allocs/op
