limiter,run,throughput_rps,p50_us,p95_us,p99_us,status_200,status_429,errors
baseline,1,20489.63,753,3162,5817,5000,0,0
baseline,2,22638.10,697,2547,4837,5000,0,0
baseline,3,28998.54,601,1863,2892,5000,0,0
baseline,4,29464.02,598,1715,2810,5000,0,0
baseline,5,29654.74,585,1687,3095,5000,0,0
token_bucket,1,27781.81,615,1882,2859,2500,2500,0
token_bucket,2,28886.20,602,1753,2821,2500,2500,0
token_bucket,3,23833.56,667,2700,4599,2500,2500,0
token_bucket,4,27142.29,626,2072,3801,2500,2500,0
token_bucket,5,24446.29,684,2372,4383,2500,2500,0
leaky_bucket,1,19900.49,805,3094,5321,2500,2500,0
leaky_bucket,2,28505.67,623,1756,2684,2500,2500,0
leaky_bucket,3,24914.67,672,2418,4147,2500,2500,0
leaky_bucket,4,23923.07,702,2398,4085,2500,2500,0
leaky_bucket,5,28330.51,645,1733,2626,2500,2500,0
sliding_window,1,28435.10,628,1802,3061,2500,2500,0
sliding_window,2,27725.92,642,2044,3298,2500,2500,0
sliding_window,3,27252.04,639,2090,3742,2500,2500,0
sliding_window,4,28734.04,607,1776,2983,2500,2500,0
sliding_window,5,26155.19,640,2032,4047,2500,2500,0
